cid,nFac
9936232343364698112,1
9936236707051470848,1
9936236947569639424,10
9936240486622691328,1
9936241345616150528,9
9936242410768039936,24
9936243578999144448,2
9936271513466437632,9
9936273643770216448,1
9936274262245507072,3
9936276220750594048,1
9936297455068905472,1
9936297661227335680,1
9936326385968611328,1
9936327244962070528,7
9936332020965703680,1
9936334288708435968,12
9936335525659017216,3
9936841644605177856,2
9936843809268695040,16
9936865799501250560,1
9936869647791947776,1
9936869682151686144,6
9936870850382790656,16
9936870953462005760,10
9936871228339912704,7
9936871778095726592,34
9936871984254156800,13
9936872465290493952,4
9936872499650232320,8
9936872568369709056,6
9936872877607354368,2
9936873255564476416,24
9936873289924214784,7
9936873702241075200,25
9936873839680028672,4
9936874217637150720,11
9936876657178574848,26
9936877275653865472,16
9936949465464176640,5
9936987501694550016,13
9942563812353769472,7
