hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
83661	MS4A8	Ms4a8a	64381	0.893193	0.893193	1.3683e-06	1			False	False	True
8367	H4C5	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
8368	H4C13	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
83695	RHNO1	Rhno1	72440	-0.388261	-0.388261	0.00080521	1			False	False	True
837	CASP4	Casp4	12363	0.459793	0.459793	0.00511091	1			False	False	True
8370	H4C14	H4c4	319156	0.409474	0.409474	0.010756	1			False	False	True
83744	ZNF484	Zfp268	433801	0.828604	0.828604	0.00085245	1	BMD		False	True	True
83752	LONP2	Lonp2	66887	0.241614	0.241614	0.0309712	1			False	False	True
838	CASP5	Casp4	12363	0.459793	0.459793	0.00511091	1			False	False	True
83856	FSD1L	Fsd1l	319636	-0.794628	-0.794628	0.00451857	1			False	False	True
83857	TMTC1	Tmtc1	387314	-1.40066	-1.40066	0.012991	1			False	False	True
83861	RSPH3	Rsph3a	66832	0.551965	0.551965	3.26166e-06	1			False	False	True
83862	TMEM120A	Tmem120a	215210	0.538257	0.538257	0.000390051	1			False	False	True
83877	TM2D2	Tm2d2	69742	0.40328	0.40328	0.000116047	1			False	False	True
83878	USHBP1	Ushbp1	234395	-1.47999	-1.47999	0.00545964	1			False	False	True
83879	CDCA7	Cdca7	66953	0.288869	0.288869	0.0077534	1	BMD		False	True	True
83903	HASPIN	Haspin	14841	-0.239769	-0.239769	0.0125818	1			False	False	True
8395	PIP5K1B	Pip5k1b	18719	-0.318211	-0.318211	0.00319362	1			False	False	True
840	CASP7	Casp7	12369	0.215916	0.215916	0.0401347	1	osteoporosis		False	True	True
8402	SLC25A11	Slc25a11	67863	0.299683	0.299683	0.0313441	1			False	False	True
84062	DTNBP1	Dtnbp1	94245	0.402187	0.402187	0.000318596	1			False	False	True
84069	PLEKHN1	Plekhn1	231002	-0.647339	-0.647339	0.0012949	1			False	False	True
84078	KBTBD7	Kbtbd7	211255	0.316962	0.316962	0.00654393	1			False	False	True
8408	ULK1	Ulk1	22241	-0.520192	-0.520192	0.00495739	1			False	False	True
84085	FBXO30	Fbxo30	71865	-0.488422	-0.488422	0.00483057	1	BMD|fracture		False	True	True
8409	UXT	Uxt	22294	0.45676	0.45676	0.00673752	1			False	False	True
84105	PCBD2	Pcbd2	72562	0.450976	0.450976	0.0214698	1			False	False	True
84128	WDR75	Wdr75	73674	0.36673	0.36673	0.0153065	1			False	False	True
84153	RNASEH2C	Rnaseh2c	68209	0.365118	0.365118	0.0328834	1			False	False	True
84154	RPF2	Rpf2	67239	0.510781	0.510781	0.00215457	1			False	False	True
84168	ANTXR1	Antxr1	69538	-0.98865	-0.98865	0.0282326	1			False	False	True
84174	SLA2	Sla2	77799	0.39443	0.39443	0.043225	1			False	False	True
84181	CHD6	Chd6	71389	-0.368018	-0.368018	0.0408603	1			False	False	True
84188	FAR1	Far1	67420	0.216468	0.216468	0.034703	1	BMD|fracture		False	True	True
84233	TMEM126A	Tmem126a	66271	0.621421	0.621421	1.2339e-05	1			False	False	True
84259	DCUN1D5	Dcun1d5	76863	0.406657	0.406657	0.000688932	1			False	False	True
84263	HSDL2	Hsdl2	72479	0.345466	0.345466	0.00162941	1			False	False	True
84267	C9orf64	2210016F16Rik	70153	0.476756	0.476756	7.72351e-05	1	BMD		False	True	True
84270	CARD19	Card19	68480	0.490376	0.490376	3.24933e-07	1			False	False	True
84287	ZDHHC16	Zdhhc16	74168	0.293739	0.293739	0.0286662	1	BMD|fracture		False	True	True
84299	MIEN1	Mien1	103742	0.408261	0.408261	0.00553251	1			False	False	True
84300	UQCC2	Uqcc2	67267	0.596238	0.596238	0.00191666	1			False	False	True
84304	NUDT22	Nudt22	68323	0.474444	0.474444	0.0196687	1			False	False	True
84311	MRPL45	Mrpl45	67036	0.318521	0.318521	0.00812537	1			False	False	True
84315	MON1A	Mon1a	72825	0.35625	0.35625	0.018199	1	BMD		False	True	True
84316	NAA38	Naa38	78304	0.561974	0.561974	2.8308e-05	1	BMD		False	True	True
84317	CCDC115	Ccdc115	69668	0.30795	0.30795	0.0365957	1			False	False	True
84318	CCDC77	Ccdc77	67200	-0.581227	-0.581227	8.67792e-06	1	BMD|fracture		False	True	True
84320	ACBD6|LHX4-AS1	Acbd6	72482	0.342622	0.342622	0.016384	1			False	False	True
84324	SARNP	Sarnp	66118	0.449987	0.449987	0.00116428	1			False	False	True
84364	ARFGAP2	Arfgap2	77038	0.214419	0.214419	0.0102495	1	BMD|fracture		False	True	True
84365	NIFK	Nifk	67949	0.340022	0.340022	0.00434867	1			False	False	False
8440	NCK2	Nck2	17974	-0.327783	-0.327783	0.0102544	1			False	False	True
84419	C15orf48	AA467197	433470	0.716151	0.716151	9.66764e-07	1			False	False	True
84436	ZNF528	Zfp677	210503	0.46705	0.46705	0.010027	1			False	False	True
84437	MSANTD4	Msantd4	78100	0.345908	0.345908	0.0240355	1			False	False	True
8444	DYRK3	Dyrk3	226419	-0.508263	-0.508263	0.00174502	1			False	False	True
84440	RAB11FIP4	Rab11fip4	268451	0.528162	0.528162	0.0222844	1	BMD		False	True	True
84444	DOT1L	Dot1l	208266	-0.490451	-0.490451	0.00426963	1			True	False	True
