sym,goid,goLabel
ADRA2C,GO_0019229,regulation of vasoconstriction
CCL2,GO_0019233,sensory perception of pain
OPRM1,GO_0019233,sensory perception of pain
OPRL1,GO_0019233,sensory perception of pain
CYP1A1,GO_0019341,dibenzo-p-dioxin catabolic process
CYP1A2,GO_0019369,arachidonate metabolic process
CYP2C9,GO_0019369,arachidonate metabolic process
CYP2J2,GO_0019369,arachidonate metabolic process
CYP1A1,GO_0019373,epoxygenase P450 pathway
CYP2C9,GO_0019373,epoxygenase P450 pathway
CYP1A2,GO_0019373,epoxygenase P450 pathway
CYP2C19,GO_0019373,epoxygenase P450 pathway
CYP2J2,GO_0019373,epoxygenase P450 pathway
ACOX1,GO_0019395,fatty acid oxidation
PPARD,GO_0019395,fatty acid oxidation
NQO1,GO_0019430,removal of superoxide radicals
LPL,GO_0019433,triglyceride catabolic process
FABP1,GO_0019433,triglyceride catabolic process
UGT1A1,GO_0019585,glucuronate metabolic process
CYP2C9,GO_0019627,urea metabolic process
TNF,GO_0019722,calcium-mediated signaling
CXCL8,GO_0019722,calcium-mediated signaling
SELE,GO_0019722,calcium-mediated signaling
CD40,GO_0019724,B cell mediated immunity
CCL2,GO_0019725,cellular homeostasis
HLA-DRA,GO_0019882,antigen processing and presentation
HLA-DRA,GO_0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II
HIF1A,GO_0019896,axonal transport of mitochondrion
REV3L,GO_0019985,translesion synthesis
PAX6,GO_0021517,ventral spinal cord development
PTEN,GO_0021542,dentate gyrus development
DRD2,GO_0021756,striatum development
RARA,GO_0021766,hippocampus development
CASP3,GO_0021766,hippocampus development
DRD2,GO_0021769,orbitofrontal cortex development
HTR6,GO_0021795,cerebral cortex cell migration
COL3A1,GO_0021819,layer formation in cerebral cortex
DRD2,GO_0021853,cerebral cortex GABAergic interneuron migration
DRD1,GO_0021853,cerebral cortex GABAergic interneuron migration
TGFB1,GO_0021915,neural tube development
RORA,GO_0021930,cerebellar granule cell precursor proliferation
SHH,GO_0021930,cerebellar granule cell precursor proliferation
PTEN,GO_0021955,central nervous system neuron axonogenesis
DRD2,GO_0021984,adenohypophysis development
FOS,GO_0021987,cerebral cortex development
COL3A1,GO_0021987,cerebral cortex development
PAX6,GO_0021987,cerebral cortex development
SRC,GO_0022407,regulation of cell-cell adhesion
HGF,GO_0022603,regulation of anatomical structure morphogenesis
EZR,GO_0022612,gland morphogenesis
EZR,GO_0022614,membrane to membrane docking
ICAM1,GO_0022614,membrane to membrane docking
VCAM1,GO_0022614,membrane to membrane docking
MMP1,GO_0022617,extracellular matrix disassembly
MMP9,GO_0022617,extracellular matrix disassembly
MMP3,GO_0022617,extracellular matrix disassembly
MMP10,GO_0022617,extracellular matrix disassembly
SDHB,GO_0022904,respiratory electron transport chain
CD40,GO_0023035,CD40 signaling pathway
HTR6,GO_0023056,positive regulation of signaling
PTEN,GO_0023057,negative regulation of signaling
SELE,GO_0030029,actin filament-based process
EZR,GO_0030033,microvillus assembly
EZR,GO_0030036,actin cytoskeleton organization
PIK3CA,GO_0030036,actin cytoskeleton organization
IL2,GO_0030101,natural killer cell activation
ABCG2,GO_0030148,sphingolipid biosynthetic process
GLI1,GO_0030154,cell differentiation
IL6,GO_0030154,cell differentiation
FGF2,GO_0030154,cell differentiation
