mondo,dlabel,k,K,expected,fold,p,FDR
MONDO_0016096,malignant non-dysgerminomatous germ cell tumor of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0018369,immature ovarian teratoma,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0016248,familial ovarian cancer,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0020541,maligant granulosa cell tumor of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0003792,ovarian carcinosarcoma,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0003795,ovarian small cell carcinoma,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0020538,malignant dysgerminomatous germ cell tumor of ovary,9,137,2.6102422907488987,3.4479557824564364,0.0011936916464282683,0.0013575316763301875
MONDO_0006045,ovarian clear cell adenocarcinoma,9,138,2.629295154185022,3.4229705956270418,0.0012564662953000914,0.0014150494199496174
MONDO_0002752,ovarian adenocarcinoma,9,138,2.629295154185022,3.4229705956270418,0.0012564662953000914,0.0014150494199496174
MONDO_0005744,yolk sac tumor,9,141,2.686453744493392,3.350141434017956,0.0014609601172070304,0.0016374045758069133
MONDO_0025483,"mammary neoplasms, animal",9,142,2.7055066079295154,3.3265488887079706,0.00153478849146415,0.0017036886603812576
MONDO_0006335,ovarian endometrioid adenocarcinoma,9,142,2.7055066079295154,3.3265488887079706,0.00153478849146415,0.0017036886603812576
MONDO_0011401,Alzheimer disease without neurofibrillary tangles,7,101,1.9243392070484582,3.637612316144909,0.0030890991345277935,0.00339654501995473
MONDO_0008243,Pick disease,7,101,1.9243392070484582,3.637612316144909,0.0030890991345277935,0.00339654501995473
MONDO_0005942,Reye syndrome,7,102,1.9433920704845815,3.6019494503003515,0.003264636260903813,0.0035726208138192666
MONDO_0007576,esophageal cancer,6,79,1.5051762114537446,3.986244237945416,0.0038651449795730646,0.004190250632060519
MONDO_0019086,carcinoma of esophagus,6,79,1.5051762114537446,3.986244237945416,0.0038651449795730646,0.004190250632060519
MONDO_0019434,systemic-onset juvenile idiopathic arthritis,8,135,2.572136563876652,3.110254763433954,0.004205402867142302,0.0045379230938465765
MONDO_0005601,ovarian mucinous adenocarcinoma,9,167,3.181828193832599,2.8285625281229447,0.00458893615109043,0.004928857347467498
MONDO_0021074,precancerous condition,7,110,2.095814977973568,3.3399894902785077,0.004957243288700146,0.005299909875476654
